Coin,Target,Model,R2,MSE,MAE,Mean,Std,Var
Stellar,percentChange7d,LinearRegression,0.9061,9.1342,2.3993,5.7780,9.3564,87.5432
Stellar,percentChange7d,KNN,0.9551,4.3692,1.5258,6.0138,9.9034,98.0770
Stellar,percentChange7d,SVM,0.9556,4.3154,1.6387,5.3420,9.8058,96.1544
Stellar,percentChange7d,DecisionTree,0.9590,3.9830,1.5826,5.6310,9.7144,94.3694
Stellar,percentChange7d,RandomForest,0.9591,3.9734,1.5795,5.6296,9.7245,94.5668
Stellar,percentChange30d,LinearRegression,0.5953,4.5368,1.6234,24.0408,2.5630,6.5691
Stellar,percentChange30d,KNN,0.6181,4.2818,1.3806,24.3063,3.3195,11.0194
Stellar,percentChange30d,SVM,0.6393,4.0444,1.4892,23.6641,2.5471,6.4877
Stellar,percentChange30d,DecisionTree,0.7574,2.7194,1.2839,24.0009,3.0073,9.0439
Stellar,percentChange30d,RandomForest,0.7563,2.7322,1.2856,24.0020,3.0184,9.1108
Stellar,percentChange60d,LinearRegression,0.8168,3.0357,1.4467,8.6471,3.7678,14.1963
Stellar,percentChange60d,KNN,0.8744,2.0811,1.1442,8.7185,4.0161,16.1287
Stellar,percentChange60d,SVM,0.8603,2.3157,1.2337,8.8747,3.4456,11.8721
Stellar,percentChange60d,DecisionTree,0.8938,1.7609,1.0712,8.6870,3.8604,14.9030
Stellar,percentChange60d,RandomForest,0.8935,1.7652,1.0733,8.6908,3.8511,14.8308
Stellar,percentChange90d,LinearRegression,0.7469,6.1621,2.0970,-12.2197,4.1178,16.9564
Stellar,percentChange90d,KNN,0.8916,2.6384,1.2114,-11.6648,4.4158,19.4995
Stellar,percentChange90d,SVM,0.8956,2.5417,1.0790,-12.0090,4.6168,21.3147
Stellar,percentChange90d,DecisionTree,0.9011,2.4089,1.1216,-12.4451,4.7283,22.3566
Stellar,percentChange90d,RandomForest,0.8995,2.4481,1.1276,-12.4695,4.7387,22.4550
Cardano,price,LinearRegression,0.6844,0.0002,0.0123,0.7791,0.0216,0.0005
Cardano,price,KNN,0.8157,0.0001,0.0086,0.7789,0.0244,0.0006
Cardano,price,SVM,-0.0033,0.0006,0.0201,0.7790,0.0000,0.0000
Cardano,price,DecisionTree,0.8136,0.0001,0.0087,0.7795,0.0225,0.0005
Cardano,price,RandomForest,0.8125,0.0001,0.0087,0.7795,0.0226,0.0005
Cardano,volumeChange24h,LinearRegression,0.1446,1087.3036,26.4674,-5.2832,12.5366,157.1664
Cardano,volumeChange24h,KNN,0.3595,814.0745,20.5531,-9.4679,20.8102,433.0631
